src,dst,add_st,mul_st
16,22,3.0,1.75
16,23,0.0,1.0
17,1,2.0,1.6666666666666667
17,2,0.0,1.0
17,3,1.0,1.3333333333333333
17,4,0.0,1.0
17,5,2.0,1.5
17,6,0.0,1.0
17,7,0.0,1.0
17,8,2.0,1.4
17,9,4.0,2.0
17,10,3.0,2.5
17,11,2.0,1.6666666666666667
17,12,1.0,1.3333333333333333
17,13,0.0,1.0
17,14,0.0,1.0
17,15,0.0,1.0
17,16,2.0,1.6666666666666667
17,18,0.0,1.0
17,19,0.0,1.0
17,20,0.0,1.0
17,21,2.0,1.6666666666666667
17,22,0.0,1.0
17,23,0.0,1.0
18,1,0.0,1.0
18,2,0.0,1.0
18,3,2.0,1.6666666666666667
18,4,0.0,1.0
18,5,0.0,1.0
18,6,0.0,1.0
18,7,0.0,1.0
18,8,0.0,1.0
18,9,2.0,1.4
18,10,2.0,1.5
18,11,2.0,1.5
18,12,4.0,2.3333333333333335
18,13,0.0,1.0
18,14,0.0,1.0
18,15,0.0,1.0
18,16,0.0,1.0
18,17,0.0,1.0
18,19,0.0,1.0
18,20,0.0,1.0
18,21,0.0,1.0
18,22,2.0,1.5
18,23,0.0,1.0
19,1,0.0,1.0
19,2,0.0,1.0
19,3,0.0,1.0
19,4,0.0,1.0
19,5,1.0,1.2
19,6,0.0,1.0
19,7,0.0,1.0
19,8,1.0,1.1666666666666667
19,9,3.0,1.6
19,10,1.0,1.25
19,11,0.0,1.0
19,12,2.0,1.5
19,13,0.0,1.0
19,14,0.0,1.0
19,15,0.0,1.0
19,16,1.0,1.25
19,17,0.0,1.0
19,18,0.0,1.0
19,20,0.0,1.0
19,21,0.0,1.0
19,22,0.0,1.0
19,23,0.0,1.0
20,1,2.0,1.5
20,2,0.0,1.0
20,3,1.0,1.25
20,4,0.0,1.0
20,5,2.0,1.4
20,6,0.0,1.0
20,7,0.0,1.0
20,8,4.0,2.0
20,9,6.0,3.0
20,10,3.0,2.0
20,11,2.0,1.5
20,12,0.0,1.0
20,13,0.0,1.0
20,14,0.0,1.0
20,15,0.0,1.0
20,16,2.0,1.5
20,17,0.0,1.0
20,18,0.0,1.0
20,19,0.0,1.0
20,21,2.0,1.5
20,22,0.0,1.0
20,23,0.0,1.0
21,1,0.0,1.0
21,2,0.0,1.0
21,3,2.0,2.0
21,4,0.0,1.0
